fecha,hora,latitud,longitud,profundidad,magnitud,provincia,sentido
11/02/2026,19:04:25,-31.53,-66.45,125 Km,2.9,LA RIOJA,No
11/02/2026,11:58:04,-23.337,-66.863,237 Km,3.9,JUJUY,No
11/02/2026,10:49:06,-29.774,-69.206,109 Km,2.7,SAN JUAN,No
11/02/2026,08:34:49,-31.543,-68.641,104 Km,2.8,SAN JUAN,No
11/02/2026,07:34:21,-23.164,-66.705,249 Km,3.0,JUJUY,No
11/02/2026,06:48:51,-31.668,-69.456,112 Km,3.0,SAN JUAN,No
11/02/2026,06:36:51,-33.824,-65.444,5 Km,2.8,SAN LUIS,Si
11/02/2026,06:28:20,-24.285,-67.258,209 Km,3.5,SALTA,No
11/02/2026,05:26:19,-23.979,-66.984,193 Km,3.4,SALTA,No
11/02/2026,05:16:04,-51.423,-72.335,25 Km,4.5,SUR DE CHILE,Si
11/02/2026,05:01:23,-24.371,-67.435,196 Km,2.6,SALTA,No
11/02/2026,03:07:06,-24.28,-67.07,193 Km,3.8,SALTA,No
11/02/2026,02:34:48,-31.321,-68.564,101 Km,2.6,SAN JUAN,No
10/02/2026,23:33:47,-32.02,-68.456,115 Km,2.8,SAN JUAN,No
10/02/2026,22:50:12,-29.008,-67.926,110 Km,2.8,LA RIOJA,No
10/02/2026,19:37:30,-31.331,-68.292,98 Km,2.8,SAN JUAN,No
10/02/2026,18:38:16,-31.157,-68.393,104 Km,3.4,SAN JUAN,Si
10/02/2026,17:09:09,-27.651,-67.516,140 Km,2.6,CATAMARCA,No
10/02/2026,13:10:59,-31.925,-70.176,105 Km,2.7,SAN JUAN,No
10/02/2026,12:45:13,-31.579,-69.376,120 Km,2.7,SAN JUAN,No
10/02/2026,10:18:01,-31.789,-68.362,114 Km,2.9,SAN JUAN,No
10/02/2026,07:39:19,-24.226,-67.259,183 Km,2.9,SALTA,No
10/02/2026,06:46:27,-31.194,-67.472,107 Km,2.5,SAN JUAN,No
10/02/2026,04:58:24,-28.006,-66.723,171 Km,2.7,CATAMARCA,No
10/02/2026,04:04:37,-30.246,-67.874,10 Km,3.2,SAN JUAN,No
10/02/2026,02:24:56,-27.87,-66.869,176 Km,3.7,CATAMARCA,No
10/02/2026,01:25:56,-24.279,-67.165,183 Km,2.8,SALTA,No
09/02/2026,22:50:02,-28.749,-69.58,120 Km,2.8,SAN JUAN,No
09/02/2026,21:37:23,-31.611,-69.168,107 Km,2.5,SAN JUAN,No
09/02/2026,17:30:05,-23.345,-66.784,233 Km,3.2,JUJUY,No
09/02/2026,15:44:11,-31.659,-69.699,108 Km,2.8,SAN JUAN,No
09/02/2026,14:00:04,-31.245,-68.508,110 Km,3.2,SAN JUAN,No
09/02/2026,13:46:56,-28.605,-67.56,126 Km,2.5,LA RIOJA,No
09/02/2026,01:52:25,-31.329,-68.54,98 Km,2.5,SAN JUAN,No
09/02/2026,00:33:47,-31.224,-68.388,108 Km,3.2,SAN JUAN,No
08/02/2026,23:15:22,-31.262,-69.102,114 Km,2.8,SAN JUAN,No
08/02/2026,22:32:13,-38.288,-68.758,6 Km,2.7,NEUQUEN,No
08/02/2026,18:32:35,-31.392,-68.141,94 Km,2.9,SAN JUAN,No
08/02/2026,18:21:25,-31.252,-69.221,115 Km,2.7,SAN JUAN,No
08/02/2026,16:49:31,-31.302,-68.328,100 Km,2.9,SAN JUAN,No
08/02/2026,13:23:56,-20.149,-69.1,123 Km,5.3,CHILE,No
08/02/2026,12:34:40,-31.304,-68.845,106 Km,2.8,SAN JUAN,No
