fecha,hora,latitud,longitud,profundidad,magnitud,provincia,sentido
16/07/2011,08:38:42,-31.190,-68.102,101 Km.,2.5,,No
16/07/2011,07:06:43,-26.899,-65.275,34 Km.,3.1,,No
16/07/2011,01:08:43,-31.728,-68.362,25 Km.,2.9,,No
15/07/2011,22:48:43,-31.407,-68.024,10 Km.,3.0,,No
15/07/2011,22:45:27,-31.414,-69.189,97 Km.,2.5,,No
15/07/2011,22:33:32,-31.336,-68.660,105 Km.,3.8,,No
15/07/2011,19:44:04,-31.389,-68.364,106 Km.,3.7,,No
15/07/2011,18:58:13,-31.432,-68.528,100 Km.,2.7,,No
15/07/2011,18:03:17,-32.717,-68.912,137 Km.,3.7,,No
15/07/2011,17:10:19,-30.478,-68.808,105 Km.,3.2,,No
15/07/2011,15:46:22,-24.179,-66.890,214 Km.,3.4,,No
15/07/2011,15:32:52,-24.194,-66.943,216 Km.,3.7,,No
15/07/2011,14:26:15,-31.594,-69.247,110 Km.,3.2,,No
15/07/2011,11:30:14,-33.063,-69.608,6 Km.,2.6,,No
15/07/2011,11:26:27,-31.310,-68.880,97 Km.,2.7,,No
15/07/2011,11:14:08,-31.891,-69.555,108 Km.,2.8,,No
15/07/2011,10:26:01,-60.720,-23.670,10 Km.,5.9,,No
15/07/2011,09:11:46,-30.697,-70.212,109 Km.,3.4,,No
15/07/2011,07:03:40,-31.189,-69.063,94 Km.,2.8,,No
15/07/2011,00:02:54,-28.442,-69.343,130 Km.,3.3,,No
14/07/2011,19:40:25,-31.504,-68.838,100 Km.,3.0,,No
14/07/2011,17:10:20,-32.254,-66.274,10 Km.,3.1,,No
14/07/2011,16:59:35,-31.166,-68.700,101 Km.,2.9,,No
14/07/2011,11:29:32,-31.443,-68.577,100 Km.,3.5,,No
14/07/2011,11:16:18,-28.758,-68.901,110 Km.,3.0,,No
14/07/2011,10:43:06,-32.010,-68.551,116 Km.,3.0,,No
14/07/2011,09:39:17,-31.646,-69.485,109 Km.,2.8,,No
14/07/2011,05:21:57,-31.232,-68.406,99 Km.,3.3,,No
14/07/2011,03:23:13,-31.780,-70.293,91 Km.,2.5,,No
13/07/2011,22:47:02,-22.769,-66.083,268 Km.,4.4,,No
13/07/2011,22:36:41,-25.287,-64.010,23 Km.,3.0,,No
13/07/2011,20:34:04,-31.661,-69.491,96 Km.,2.5,,No
13/07/2011,13:06:39,-31.859,-69.743,103 Km.,2.5,,No
13/07/2011,12:55:10,-31.755,-69.642,111 Km.,3.0,,No
13/07/2011,12:17:40,-31.487,-69.253,100 Km.,3.1,,No
13/07/2011,11:59:40,-30.158,-65.691,36 Km.,2.8,,No
13/07/2011,10:27:20,-31.353,-68.696,103 Km.,3.1,,No
13/07/2011,10:01:08,-28.684,-68.069,110 Km.,2.9,,No
13/07/2011,08:18:24,-31.914,-68.601,40 Km.,3.0,,No
13/07/2011,06:43:38,-31.772,-69.707,98 Km.,2.8,,No
13/07/2011,05:05:31,-31.205,-68.294,97 Km.,2.6,,No
13/07/2011,05:00:16,-31.979,-68.227,25 Km.,2.7,,No
13/07/2011,03:41:56,-31.800,-69.799,105 Km.,2.6,,No
13/07/2011,02:29:14,-31.764,-69.410,97 Km.,2.5,,No
12/07/2011,21:49:36,-31.198,-68.455,100 Km.,3.4,,No
12/07/2011,18:16:37,-31.563,-69.005,107 Km.,2.9,,No
12/07/2011,15:05:30,-31.426,-69.210,98 Km.,2.6,,No
12/07/2011,13:48:48,-31.219,-68.340,92 Km.,3.1,,No
12/07/2011,12:46:54,-28.982,-67.480,126 Km.,4.0,,No
12/07/2011,11:54:39,-31.261,-68.744,98 Km.,2.8,,No
12/07/2011,11:43:41,-31.529,-69.676,103 Km.,2.8,,No
12/07/2011,10:26:19,-31.254,-68.558,99 Km.,2.7,,No
12/07/2011,09:30:57,-31.700,-69.780,102 Km.,2.5,,No
12/07/2011,06:12:32,-31.334,-68.744,92 Km.,2.5,,No
12/07/2011,02:24:56,-28.804,-67.221,135 Km.,3.6,,No
12/07/2011,01:14:14,-23.952,-66.790,209 Km.,4.2,,No
11/07/2011,23:34:51,-32.221,-69.576,98 Km.,2.9,,No
11/07/2011,18:59:23,-24.059,-66.821,216 Km.,3.4,,No
11/07/2011,17:13:44,-31.697,-69.597,118 Km.,2.8,,No
11/07/2011,13:52:50,-31.408,-68.296,87 Km.,2.6,,No
11/07/2011,07:07:02,-32.274,-67.836,118 Km.,2.5,,No
11/07/2011,05:45:31,-31.269,-68.601,106 Km.,3.3,,No
11/07/2011,04:59:19,-29.270,-69.362,117 Km.,2.5,,No
11/07/2011,03:46:20,-30.104,-66.888,10 Km.,2.9,,No
11/07/2011,01:04:28,-31.592,-69.857,106 Km.,3.8,,No
10/07/2011,23:08:15,-32.096,-69.359,107 Km.,3.1,,No
10/07/2011,22:32:34,-31.506,-67.938,108 Km.,3.5,,No
10/07/2011,22:16:10,-31.450,-68.520,104 Km.,3.2,,No
10/07/2011,19:55:08,-31.383,-68.244,9 Km.,2.9,,No
10/07/2011,16:03:50,-31.250,-68.412,99 Km.,2.5,,No
10/07/2011,14:30:37,-31.301,-68.247,100 Km.,2.5,,No
10/07/2011,14:24:24,-31.621,-68.879,3 Km.,2.8,,No
10/07/2011,12:55:59,-31.351,-69.109,98 Km.,3.0,,No
10/07/2011,08:07:55,-32.626,-68.780,27 Km.,2.7,,No
10/07/2011,06:58:33,-32.532,-67.096,12 Km.,2.6,,No
