fecha,hora,latitud,longitud,profundidad,magnitud,provincia,sentido
09/11/2024,15:48:49,-31.271,-68.562,100 Km.,2.6,SAN JUAN,No
09/11/2024,12:43:11,-31.511,-69.313,118 Km.,3.1,SAN JUAN,No
09/11/2024,08:37:51,-31.255,-68.622,105 Km.,2.9,SAN JUAN,No
09/11/2024,08:15:36,-23.916,-66.736,227 Km.,3.5,JUJUY,No
09/11/2024,03:07:42,-31.192,-68.924,107 Km.,3.0,SAN JUAN,No
09/11/2024,01:58:56,-31.214,-68.420,100 Km.,3.0,SAN JUAN,No
09/11/2024,01:52:30,-32.066,-69.137,8 Km.,2.5,MENDOZA,No
09/11/2024,01:13:04,-31.479,-69.043,107 Km.,3.1,SAN JUAN,No
09/11/2024,00:23:24,-31.961,-69.544,121 Km.,3.0,SAN JUAN,No
09/11/2024,00:13:27,-29.125,-67.342,127 Km.,2.7,LA RIOJA,No
08/11/2024,23:52:37,-31.639,-69.048,115 Km.,3.0,SAN JUAN,No
08/11/2024,23:34:08,-34.037,-69.016,11 Km.,2.7,MENDOZA,No
08/11/2024,23:14:31,-28.973,-69.710,121 Km.,3.0,SAN JUAN,No
08/11/2024,20:58:20,-31.544,-68.959,108 Km.,2.8,SAN JUAN,No
08/11/2024,15:21:23,-24.120,-66.989,189 Km.,3.3,SALTA,No
08/11/2024,11:56:42,-31.223,-68.739,102 Km.,2.5,SAN JUAN,No
08/11/2024,09:09:24,-24.274,-67.147,170 Km.,3.3,SALTA,No
08/11/2024,08:29:35,-23.932,-67.052,221 Km.,3.1,SALTA,No
08/11/2024,07:04:24,-31.775,-68.248,108 Km.,2.9,SAN JUAN,No
08/11/2024,06:50:57,-32.844,-69.222,8 Km.,2.7,MENDOZA,Si
08/11/2024,06:02:10,-31.148,-68.464,96 Km.,2.6,SAN JUAN,No
08/11/2024,04:14:07,-31.319,-68.595,100 Km.,2.7,SAN JUAN,No
08/11/2024,04:07:44,-31.144,-68.395,102 Km.,2.8,SAN JUAN,No
08/11/2024,03:28:32,-22.804,-65.694,436 Km.,3.2,JUJUY,No
